init?shape0?pos_derivs[[0, 0], [0, 0], [0, -9.81], [0, 0]]?rot_derivs[[0, 0], [0, 0], [0, 0], [0, 0]]?height1?width1
init?shape0?pos_derivs[[5, 0], [0, 5], [0, -9.81], [0, 0]]?rot_derivs[[0, 0], [0, 0], [0, 0], [0, 0]]?height1?width1
0tick0?pos_derivs[[0, 0], [0, 0], [0, -9.81], [0, 0]]
1tick0?pos_derivs[[5, 0], [0, 5], [0, -9.81], [0, 0]]
0tick1?pos_derivs[[0.0, -0.04905], [0.0, -0.981], [0.0, -9.81], [0, 0]]
1tick1?pos_derivs[[5.0, 0.45095], [0.0, 4.019], [0.0, -9.81], [0, 0]]
0tick2?pos_derivs[[0.0, -0.1962], [0.0, -1.962], [0.0, -9.81], [0, 0]]
1tick2?pos_derivs[[5.0, 0.8038], [0.0, 3.038], [0.0, -9.81], [0, 0]]
0tick3?pos_derivs[[0.0, -0.44145], [0.0, -2.943], [0.0, -9.81], [0, 0]]
1tick3?pos_derivs[[5.0, 1.05855], [0.0, 2.056999999999999], [0.0, -9.81], [0, 0]]
0tick4?pos_derivs[[0.0, -0.7848], [0.0, -3.924], [0.0, -9.81], [0, 0]]
1tick4?pos_derivs[[5.0, 1.2152], [0.0, 1.075999999999999], [0.0, -9.81], [0, 0]]
0tick5?pos_derivs[[0.0, -1.22625], [0.0, -4.905], [0.0, -9.81], [0, 0]]
1tick5?pos_derivs[[5.0, 1.27375], [0.0, 0.094999999999999], [0.0, -9.81], [0, 0]]
0tick6?pos_derivs[[0.0, -1.7658], [0.0, -5.886], [0.0, -9.81], [0, 0]]
1tick6?pos_derivs[[5.0, 1.2342], [0.0, -0.886000000000001], [0.0, -9.81], [0, 0]]
0tick7?pos_derivs[[0.0, -2.40345], [0.0, -6.867], [0.0, -9.81], [0, 0]]
1tick7?pos_derivs[[5.0, 1.09655], [0.0, -1.867000000000001], [0.0, -9.81], [0, 0]]
0tick8?pos_derivs[[0.0, -3.1392], [0.0, -7.848], [0.0, -9.81], [0, 0]]
1tick8?pos_derivs[[5.0, 0.8608], [0.0, -2.848000000000001], [0.0, -9.81], [0, 0]]
0tick9?pos_derivs[[0.0, -3.97305], [0.0, -8.829], [0.0, -9.81], [0, 0]]
1tick9?pos_derivs[[5.0, 0.52695], [0.0, -3.829000000000002], [0.0, -9.81], [0, 0]]
