init?shape0?pos_derivs[[0, 0], [0, 0], [0, -9.81], [0, 0]]?rot_derivs[[0, 0], [0, 0], [0, 0], [0, 0]]?height1?width1?
init?shape0?pos_derivs[[50, 0], [0, 5], [0, -9.81], [0, 0]]?rot_derivs[[0, 0], [0, 0], [0, 0], [0, 0]]?height10?width10?
0tick0?pos_derivs[[0, 0], [0, 0], [0, -9.81], [0, 0]]?
1tick0?pos_derivs[[50, 0], [0, 5], [0, -9.81], [0, 0]]?
0tick1?pos_derivs[[0.0, -0.0004905], [0.0, -0.0981], [0.0, -9.81], [0, 0]]?
1tick1?pos_derivs[[50.0, 0.0495095], [0.0, 4.9019], [0.0, -9.81], [0, 0]]?
0tick2?pos_derivs[[0.0, -0.001962], [0.0, -0.1962], [0.0, -9.81], [0, 0]]?
1tick2?pos_derivs[[50.0, 0.098038], [0.0, 4.803800000000001], [0.0, -9.81], [0, 0]]?
0tick3?pos_derivs[[0.0, -0.0044145], [0.0, -0.2943], [0.0, -9.81], [0, 0]]?
1tick3?pos_derivs[[50.0, 0.1455855], [0.0, 4.705700000000001], [0.0, -9.81], [0, 0]]?
0tick4?pos_derivs[[0.0, -0.007848], [0.0, -0.3924], [0.0, -9.81], [0, 0]]?
1tick4?pos_derivs[[50.0, 0.192152], [0.0, 4.607600000000001], [0.0, -9.81], [0, 0]]?
0tick5?pos_derivs[[0.0, -0.0122625], [0.0, -0.4905], [0.0, -9.81], [0, 0]]?
1tick5?pos_derivs[[50.0, 0.2377375], [0.0, 4.509500000000001], [0.0, -9.81], [0, 0]]?
0tick6?pos_derivs[[0.0, -0.017658], [0.0, -0.5886], [0.0, -9.81], [0, 0]]?
1tick6?pos_derivs[[50.0, 0.282342], [0.0, 4.411400000000001], [0.0, -9.81], [0, 0]]?
0tick7?pos_derivs[[0.0, -0.0240345], [0.0, -0.6867], [0.0, -9.81], [0, 0]]?
1tick7?pos_derivs[[50.0, 0.3259655], [0.0, 4.313300000000002], [0.0, -9.81], [0, 0]]?
0tick8?pos_derivs[[0.0, -0.031392], [0.0, -0.7848], [0.0, -9.81], [0, 0]]?
1tick8?pos_derivs[[50.0, 0.368608], [0.0, 4.215200000000002], [0.0, -9.81], [0, 0]]?
0tick9?pos_derivs[[0.0, -0.0397305], [0.0, -0.8829], [0.0, -9.81], [0, 0]]?
1tick9?pos_derivs[[50.0, 0.4102695], [0.0, 4.117100000000002], [0.0, -9.81], [0, 0]]?
