init?shape0?pos_derivs[[250, 250], [10, -30], [0, 9.81], [0, 0]]?rot_derivs[[0, 0], [0, 0], [0, 0], [0, 0]]?height5?width5?
0?pos_derivs[[250, 250], [10, -30], [0, 9.81], [0, 0]]?
0?pos_derivs[[250.5, 248.5122625], [10.0, -29.5095], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[251.0, 247.04905], [10.0, -29.019], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[251.5, 245.6103625], [10.0, -28.528499999999998], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[252.0, 244.1962], [10.0, -28.037999999999997], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[252.5, 242.8065625], [10.0, -27.547499999999996], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[253.0, 241.44145], [10.0, -27.056999999999995], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[253.5, 240.1008625], [10.0, -26.566499999999994], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[254.0, 238.78480000000002], [10.0, -26.075999999999993], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[254.5, 237.49326250000001], [10.0, -25.585499999999993], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[255.0, 236.22625000000002], [10.0, -25.09499999999999], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[255.5, 234.9837625], [10.0, -24.60449999999999], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[256.0, 233.7658], [10.0, -24.11399999999999], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[256.5, 232.57236250000003], [10.0, -23.62349999999999], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[257.0, 231.40345000000002], [10.0, -23.13299999999999], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[257.5, 230.25906250000003], [10.0, -22.642499999999988], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[258.0, 229.13920000000002], [10.0, -22.151999999999987], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[258.5, 228.04386250000002], [10.0, -21.661499999999986], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[259.0, 226.97305000000003], [10.0, -21.170999999999985], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[259.5, 225.92676250000002], [10.0, -20.680499999999984], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[260.0, 224.90500000000003], [10.0, -20.189999999999984], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[260.5, 223.90776250000002], [10.0, -19.699499999999983], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[261.0, 222.93505000000002], [10.0, -19.208999999999982], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[261.5, 221.98686250000003], [10.0, -18.71849999999998], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[262.0, 221.06320000000002], [10.0, -18.22799999999998], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[262.5, 220.16406250000003], [10.0, -17.73749999999998], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[263.0, 219.28945000000002], [10.0, -17.24699999999998], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[263.5, 218.43936250000002], [10.0, -16.756499999999978], [0.0, 9.81], [0, 0]]?
0?pos_derivs[[264.0, 217.61380000000003], [10.0, -16.265999999999977], [0.0, 9.81], [0, 0]]?
